,drugstore,street,number,neighborhood,city,zip_code,latitude,longitude
218,CULIACAN 28,AEROPUERTO,8457 PTE,NUEVO BACHIGUALATO,CULIACAN,80135,24.77526,-107.4717
219,CULIACAN 30,JUAN LEY FONG,3489,ALTURAS DEL SUR,CULIACAN,80295,24.76193,-107.358
220,CULIACAN 32,MARIO LOPEZ VALDEZ,3007 NTE,FRACC BARCELONA,CULIACAN,80059,24.83209,-107.4325
221,CULIACAN 39,FRANCISCO I. MADERO,5369,EL BARRIO,CULIACAN,80080,24.80539,-107.3362
222,CULIACAN 6,EMILIANO ZAPATA,3281,EL PALMITO,CULIACAN,80159,24.79045,-107.4269
223,CULIACAN 7,HEROICO COLEGIO MILITAR,2009,EMILIANO ZAPATA,CULIACAN,80260,24.78912,-107.3721
224,DEL LAGO,DE TLALPAN,1077,DEL LAGO,CIUDAD DE MEXICO,03640,19.3794,-99.14079
225,DEL VALLE,DEL VALLE,137,DEL VALLE,CIUDAD DE MEXICO,03100,19.38616,-99.17344
226,DELIVERY,ALEMANIA,10,INDEPENDENCIA,CIUDAD DE MEXICO,03630,0.0,0.0
227,DIAGONAL SAN ANTONIO,JUAN SANCHEZ AZCONA,510,NARVARTE,CIUDAD DE MEXICO,03020,19.3936,-99.16037
228,DIVISION DEL NORTE,DIVISION DEL NORTE,2863,PARQUE SAN ANDRES,CIUDAD DE MEXICO,04040,19.34505,-99.14967
229,DIVISION DEL NORTE 2,PROLONGACION DIVISION DEL NORTE,LOTE 11MANZANA 2,BELISARIO DOMINGUEZ,CIUDAD DE MEXICO,14310,19.30445,-99.13221
230,DR. BALMIS,DOCTOR BALMIS,8,DOCTORES,CIUDAD DE MEXICO,06720,19.41426,-99.14442
231,DR. OLVERA,DR. OLVERA,1,DOCTORES,CIUDAD DE MEXICO,06720,19.41535,-99.144
232,EBANO,CONSTITUCION,S/N,CENTRO,EBANO,79150,22.20947,-98.38013
233,EBANO 2,VICENTE GUERRERO,114-B,TULIPANES,EBANO,79170,22.21366,-98.37535
234,EBANO 3,BENITO JUAREZ,15,20 DE NOVIEMBRE,EBANO,79161,22.21196,-98.37792
235,ECATEPEC 1,VIA MORELOS,368,SANTA CLARA COATITLA,ECATEPEC,55540,19.53587,-99.0631
236,ECATEPEC 3,VIA MORELOS,244,SANTA MARIA TULPETLAC,ECATEPEC,55400,19.56816,-99.044
237,"ECUANDUREO, MICH.",ZARAGOZA,54,CENTRO,ECUANDUREO,59730,20.16215,-102.1947
238,EJE CENTRAL 1,REPUBLICA DE CUBA,2,CENTRO,CIUDAD DE MEXICO,06000,19.43793,-99.14014
239,EJE CENTRAL 2,CENTRAL LAZARO CARDENAS,14,OBRERA,CIUDAD DE MEXICO,06800,19.42168,-99.14297
240,EJE CENTRAL 3,CENTRAL LAZARO CARDENAS,13,CENTRO,CIUDAD DE MEXICO,06050,19.43288,-99.14134
241,EJE CENTRAL 7,EJE CENTRAL LAZARO CARDENAS,4907,MAGDALENA DE LAS SALINAS,CIUDAD DE MEXICO,07760,19.48017,-99.14021
242,EL HIGO,FRANCISCO I MADERO,22,EL HIGO CENTRO,EL HIGO,92400,21.76862,-98.45195
243,EL HIGO 2,FRANCISCO I. MADERO,37,ZONA CENTRO,EL HIGO,92400,21.76833,-98.45331
244,EL OLIVO,TECAMACHALCO,MZ 8,EL OLIVO,HUIXQUILUCAN,52789,19.38634,-99.27757
245,ERMITA 1,ERMITA IZTAPALAPA,4012,SANTA MARIA AZTAHUACAN,CIUDAD DE MEXICO,09500,19.34496,-99.02493
246,ERMITA 2,ERMITA IZTAPALAPA,72,PORTALES,CIUDAD DE MEXICO,03580,19.35975,-99.13991
247,ERMITA 3,ERMITA IZTAPALAPA,447,PRADO CHURUBUSCO,CIUDAD DE MEXICO,04230,19.35759,-99.12252
248,ERMITA 4,ERMITA IZTAPALAPA,334,CACAMA,CIUDAD DE MEXICO,09080,19.35842,-99.12813
249,ERMITA 5,ERMITA IZTAPALAPA,238,SINATEL,CIUDAD DE MEXICO,09470,19.35909,-99.13362
250,ESCANDON,COMERCIO,92,ESCANDON,CIUDAD DE MEXICO,11800,19.40252,-99.17823
251,ESCANDON 2,PROSPERIDAD,63,ESCANDON II SECCION,CIUDAD DE MEXICO,11800,19.40141,-99.17538
252,FELIX CUEVAS,FELIX CUEVAS,209,DEL VALLE CENTRO,CIUDAD DE MEXICO,03100,19.37304,-99.17658
253,FORTIN 1,1 SUR,211,CENTRO,FORTIN,94470,18.89849,-96.9987
254,FORTIN 2,3,102,CENTRO,FORTIN,94470,18.89995,-96.99765
255,FRAY SERVANDO,DR. VALENZUELA,38,DOCTORES,CIUDAD DE MEXICO,06720,19.42463,-99.14334
256,GARIBALDI,HONDURAS,8A 14,CENTRO,CIUDAD DE MEXICO,06010,19.44088,-99.13756
257,GENERAL ANAYA,DE TLALPAN,1713,SAN DIEGO CHURUBUSCO,CIUDAD DE MEXICO,04120,19.35404,-99.1451
258,"GENOVA, CUAUHTEMOC",GENOVA,65,JUAREZ,CIUDAD DE MEXICO,06600,19.42582,-99.1639
259,GUADALAJARA 1,LOPEZ COTILLA,385,SECTOR JUAREZ,GUADALAJARA,44100,20.67433,-103.3486
260,GUADALAJARA 10,ANDRES TERAN,560,SANTA TERESITA,GUADALAJARA,44600,20.68519,-103.368
261,GUADALAJARA 100,CAMINO DE SANTIAGO,1570,PASEOS DE SANTIAGO,GUADALAJARA,45410,20.66584,-103.2148
262,GUADALAJARA 101,DIAZ DE LEON SUR ENRIQUE,730,MODERNA,GUADALAJARA,44190,20.66569,-103.3596
263,GUADALAJARA 102,JUAREZ,102,GUADALAJARA CENTRO,GUADALAJARA,44100,20.67537,-103.3441
264,GUADALAJARA 103,VEINTIDOS,6,ECHEVERRIA,GUADALAJARA,44970,20.62689,-103.361
265,GUADALAJARA 104,PABLO NERUDA,2989,LOMAS PROVIDENCIA,GUADALAJARA,44647,20.69759,-103.387
266,GUADALAJARA 105,RAFAEL SANZIO,771,ARCOS DE GUADALUPE,ZAPOPAN,45037,20.66185,-103.4306
267,GUADALAJARA 106,BETHANIA,3069,BETHEL,GUADALAJARA,44720,20.69405,-103.273
268,GUADALAJARA 107,SAN FELIPE,994,GUADALAJARA CENTRO,GUADALAJARA,44100,20.67942,-103.3603
269,GUADALAJARA 108,FERROCARRIL,105,SECTOR JUAREZ,GUADALAJARA,44770,20.67089,-103.3464
270,GUADALAJARA 109,16 DE SEPTIEMBRE,8,GUADALAJARA CENTRO,GUADALAJARA,44100,20.67648,-103.3475
271,GUADALAJARA 11,SANTIAGO,2421,OBLATOS,GUADALAJARA,44700,20.69481,-103.296
272,GUADALAJARA 110,RIO NILO,2003,LOMAS DEL PARADERO,GUADALAJARA,44840,20.64892,-103.3188
273,GUADALAJARA 111,ADOLF BERNARD HORN,5501,UNION DEL CUATRO,TLAJOMULCO DE ZUÑIGA,45654,20.52967,-103.3476
274,GUADALAJARA 112,FRAY TORIBIO DE MOTOLINIA,509,FRACCIONAMIENTO SAN FRANCISCO,ZAPOPAN,45140,20.72509,-103.4002
275,GUADALAJARA 113,CENTRAL,45,CIUDAD GRANJA,GUADALAJARA,45010,20.68267,-103.4447
276,GUADALAJARA 114,CIRCUNVALACION OBLATOS,2347,OBLATOS,GUADALAJARA,44716,20.68969,-103.2992
277,GUADALAJARA 115,JUAN GIL PRECIADO,2001,EL TIGRE,ZAPOPAN,45134,20.74989,-103.4204
278,GUADALAJARA 116,ANILLO PERIFERICO,2109,FRACCIONAMIENTO PASEOS DEL SOL,JALISCO,45079,20.63167,-103.4359
279,GUADALAJARA 117,SANTA MARGARITA,"5054,FRACCION 3",FRACCIONAMIENTO VALLE ESMERALDA,GUADALAJARA,45138,20.7306,-103.4433
280,GUADALAJARA 118,NORTE,14 LOCAL 9,CIUDAD GRANJA,GUADALAJARA,45010,20.68274,-103.4456
281,GUADALAJARA 119,ADOLF. B HORN JR,3513,FRACC REAL DEL VALLE,TLAJOMULCO DE ZUÑIGA,45654,20.55446,-103.3627
282,GUADALAJARA 12,JOSE MA. IGLESIAS,3284,CUAUHTEMOC,GUADALAJARA,44750,20.6793,-103.288
283,GUADALAJARA 13,REPUBLICA,1554,MONUMENTAL,GUADALAJARA,44320,20.67446,-103.314
284,GUADALAJARA 14,10,1968,FERROCARRIL,GUADALAJARA,44440,20.64439,-103.3498
285,GUADALAJARA 15,SAN JACINTO,452,SAN RAFAEL,GUADALAJARA,44810,20.65273,-103.3001
286,GUADALAJARA 16,INDEPENDENCIA SUR,221,BARRAGAN Y HERNANDEZ,GUADALAJARA,44469,20.67175,-103.3435
287,GUADALAJARA 17,IGNACIO LUIS VALLARTA,1843,LAFAYETTE,GUADALAJARA,44100,20.6743,-103.3736
288,GUADALAJARA 18,JUAN MANUEL,400,ZONA CENTRO,GUADALAJARA,44100,20.67893,-103.3474
289,GUADALAJARA 19,ZARAGOZA,113,ZONA CENTRO,GUADALAJARA,44100,20.67825,-103.3499
290,GUADALAJARA 2,JOAQUIN AMARO,2301,SECTOR LIBERTAD,GUADALAJARA,44700,20.70451,-103.293
291,GUADALAJARA 20,BELISARIO DOMINGUEZ,702,SANTA CECILIA,GUADALAJARA,44700,20.68301,-103.3269
292,GUADALAJARA 21,ESTEBAN A LA TORRE,3094,LIBERTAD,GUADALAJARA,44750,20.67232,-103.2922
293,GUADALAJARA 22,MALECON,25,VILLAS DE ORIENTE,GUADALAJARA,44720,20.63892,-103.2782
294,GUADALAJARA 24,LOMA DEL NORTE,7734,LOMA DORADA,GUADALAJARA,45418,20.63139,-103.2657
295,GUADALAJARA 25,GUADALUPE MARTINEZ DE HERNANDEZLOZA,3019,SAN JOSE RIO VERDE,GUADALAJARA,44726,20.6933,-103.2799
296,GUADALAJARA 26,PRESA LAUREL,607,SAN JOAQUIN,GUADALAJARA,44770,20.67046,-103.2757
297,GUADALAJARA 27,MEDRANO,1436,SAN ANTONIO,GUADALAJARA,44800,20.66203,-103.3186
298,GUADALAJARA 28,REVOLUCION,668,ANALCO,GUADALAJARA,44450,20.66687,-103.3352
299,GUADALAJARA 29,JUAREZ,595 Y 597,CENTRO,GUADALAJARA,44100,20.67493,-103.3524
300,GUADALAJARA 3,DIONICIO RODRIGUEZ,201,SECTOR LIBERTAD,GUADALAJARA,44700,20.67558,-103.3372
301,GUADALAJARA 30,GOBERNADOR CURIEL,3090,5 DE MAYO,GUADALAJARA,44940,20.62564,-103.348
302,GUADALAJARA 31,PATRIA ZONA I,1150,MIRADOR DEL SOL,GUADALAJARA,45054,20.65412,-103.4237
303,GUADALAJARA 32,BRASIL,120-A Y120-B,FRACCIONAMIENTO CHULAVISTA,TLAJOMULCO DE ZUÑIGA,45653,20.51216,-103.3661
304,GUADALAJARA 33,COPERNICO,28,PLAZA GUADALUPE,GUADALAJARA,45030,20.65449,-103.4324
305,GUADALAJARA 36,RIO MASCOTA,1979,ATLAS,GUADALAJARA,44870,20.64443,-103.3277
306,GUADALAJARA 37,HIDALGO,60,PARQUES DE TESISTAN,GUADALAJARA,45200,20.79915,-103.478
307,GUADALAJARA 39,RIO NILO,3641,VILLAS DEL NILO,GUADALAJARA,44824,20.64466,-103.2862
308,GUADALAJARA 4,HERRERA Y CAIRO,9,SAN PEDRO TLAQUEPAQUE,TLAQUEPAQUE,45500,20.63904,-103.3106
309,GUADALAJARA 40,PATRIA,945,5 DE MAYO,GUADALAJARA,44970,20.62097,-103.3599
310,GUADALAJARA 41,CRUZ DEL SUR,2581,CRUZ DEL SUR,GUADALAJARA,44950,20.64584,-103.3817
311,GUADALAJARA 44,BELISARIO DOMINGUEZ,1700,BELISARIO DOMINGUEZ,GUADALAJARA,44320,20.69546,-103.3222
312,GUADALAJARA 45,HONDURAS,1872,DEL SUR,GUADALAJARA,44920,20.65063,-103.3713
313,GUADALAJARA 47,HIDALGO,156,CENTRO,GUADALAJARA,45100,20.72209,-103.3928
314,GUADALAJARA 48,CRUZ DEL SUR,3117,LOMAS DE LA VICTORIA,TLAQUEPAQUE,45607,20.63536,-103.3978
315,GUADALAJARA 5,MORELOS,30,CENTRO,GUADALAJARA,45100,20.72322,-103.3908
316,GUADALAJARA 50,MESA DEL NORTE,427,BELISARIO DOMINGUEZ,GUADALAJARA,44320,20.7049,-103.3172
317,GUADALAJARA 51,REVOLUCION,2159,LA LOMA,GUADALAJARA,44410,20.65223,-103.3119
318,GUADALAJARA 54,PLAN DE AYALA,3223,FRACCIONAMIENTO REVOLUCION,TLAQUEPAQUE,45580,20.62135,-103.3208
319,GUADALAJARA 55,CENTRAL,1295-2,CIUDAD GRANJA,GUADALAJARA,45010,20.67609,-103.4491
320,GUADALAJARA 56,FEDERALISTAS 1317 Y 1317-A,1317 Y1317 A,GIRASOLES ACUEDUCTO,GUADALAJARA,45138,20.74447,-103.4227
321,GUADALAJARA 57,VICENTE GUERRERO,16,SAN MARTIN DE LAS FLORES DE ABAJO,TLAQUEPAQUE,45629,20.60002,-103.284
322,GUADALAJARA 58,NIÑOS HEROES,720-A,ALAMO,TLAQUEPAQUE,45560,20.62768,-103.3207
323,GUADALAJARA 6,LAZARO CARDENAS,1298,SECTOR JUAREZ,GUADALAJARA,44100,20.64785,-103.3613
324,GUADALAJARA 60,ANILLO PERIFERICO ORIENTE,2392,COYULA,GUADALAJARA,45410,20.66856,-103.2341
325,GUADALAJARA 61,GONZALEZ GALLO,1113,QUINTA VELARDE,GUADALAJARA,44430,20.65034,-103.3357
326,GUADALAJARA 63,COLOTLAN,5880-A,EJIDO COPALITA,GUADALAJARA,45200,20.8288,-103.4506
327,GUADALAJARA 64,LAZARO CARDENAS,43,SAN JOSE DEL QUINCE,EL SALTO,45696,20.54168,-103.2894
328,GUADALAJARA 65,FRANCISCO JAVIER MINA,1926,SAN ANDRES,GUADALAJARA,44810,20.66503,-103.3055
329,GUADALAJARA 66,JOSE MARIA NARVAEZ,1029,BLANCO Y CUELLAR,GUADALAJARA,44730,20.67879,-103.2995
330,GUADALAJARA 67,MERCURIO,103,ARENALES TAPATIOS,GUADALAJARA,45066,20.6355,-103.4631
331,GUADALAJARA 68,SAN GASPAR,285,JALISCO PRIMERA SECCION,GUADALAJARA,45412,20.67748,-103.2574
332,GUADALAJARA 7,PORFIRIO DIAZ,202,OBLATOS,GUADALAJARA,44700,20.67308,-103.3236
333,GUADALAJARA 70,18 DE MARZO,2134-A,LAS AGUILAS,GUADALAJARA,45080,20.62782,-103.4173
334,GUADALAJARA 72,FEDERACION,1801,SAN JUAN BOSCO,GUADALAJARA,44730,20.6764,-103.3123
335,GUADALAJARA 73,SANTA ROSALIA,1140,FRACCIONAMIENTO LA SOLEDAD RESIDENCIAL,TLAQUEPAQUE,45525,20.63669,-103.2841
336,GUADALAJARA 74,INDEPENDENCIA NORTE,2803,LOMAS DE INDEPENDENCIA,GUADALAJARA,44240,20.71312,-103.3216
337,GUADALAJARA 75,JUAREZ,816,PRADOS COYULA,TONALA,45410,20.65179,-103.2276
338,GUADALAJARA 76,ALATORRE ESTEBAN,3274,LIBERTAD,GUADALAJARA,44750,20.67217,-103.2882
339,GUADALAJARA 77,ALVARO OBREGON,1048,ORO,GUADALAJARA,44730,20.66894,-103.3222
340,GUADALAJARA 78,VOLCAN POPOCATEPETL,5971,FRACCIONAMIENTO COLLI URBANO,GUADALAJARA,45070,20.64359,-103.4331
341,GUADALAJARA 79,JAIME TORRES BODET,3136 Y3138,JARDINES EL SAUZ,GUADALAJARA,44987,20.62406,-103.3951
342,GUADALAJARA 8,TESISTAN,1543,SANTA MARGARITA,GUADALAJARA,45140,20.73044,-103.4036
343,GUADALAJARA 80,PASEO DE LA ARBOLEDA,2500,BOSQUES DE LA VICTORIA,GUADALAJARA,44540,20.64704,-103.3862
344,GUADALAJARA 81,FRANCISCO I. MADERO,40,TLAQUEPAQUE CENTRO,GUADALAJARA,45500,20.63988,-103.3114
345,GUADALAJARA 82,MANUEL J. CLOUTHIER,163,PRADOS VALLARTA,GUADALAJARA,45020,20.67369,-103.4165
346,GUADALAJARA 83,PASEO DE LOS BALCONES,3838 Y3834,BALCONES DE SANTA MARIA,GUADALAJARA,45530,20.6121,-103.3948
347,GUADALAJARA 84,MANUEL ACUÑA,1536,SANTA TERESITA,GUADALAJARA,44600,20.6843,-103.3691
348,GUADALAJARA 85,PRESA OSORIO,3750,SAN JOAQUIN,GUADALAJARA,44770,20.67034,-103.2793
349,GUADALAJARA 86,C. C. PINO SUAREZ,587,VILLA LA,GUADALAJARA,45100,20.72826,-103.3907
350,GUADALAJARA 87,GUARDIA NACIONAL,2765,FRACCIONAMIENTO MISION LA FLORESTA,ZAPOPAN,45066,20.62678,-103.4659
351,GUADALAJARA 88,ELISEO OROZCO GUTIERREZ,413,NUEVO MEXICO,ZAPOPAN,45138,20.76601,-103.4467
352,GUADALAJARA 89,MARIANO OTERO,1518,NUEVA GALICIA,TLAJOMULCO DE ZUÑIGA,45645,20.5752,-103.4418
353,GUADALAJARA 9,INDEPENDENCIA NORTE,422,LA PERLA,GUADALAJARA,44360,20.68158,-103.3381
354,GUADALAJARA 90,LA CIMA,1014,LA CIMA,GUADALAJARA,45134,20.75323,-103.4117
355,GUADALAJARA 91,AVENIDA NIÑOS HEROES,2718,JARDINES DEL BOSQUE CENTRO,GUADALAJARA,44520,20.66694,-103.3849
356,GUADALAJARA 92,SAN MATEO,L-50,TIERRA RESIDENCIAL,GUADALAJARA,45200,20.80117,-103.47
357,GUADALAJARA 93,CIRCUNVALACION JORGE ALVAREZ,1469,LOMAS DEL COUNTRY,GUADALAJARA,44610,20.7048,-103.3647
358,GUADALAJARA 94,SANTA MARGARITA,303,SANTA MARGARITA,GUADALAJARA,45140,20.7305,-103.4164
359,GUADALAJARA 95,JUAREZ,248,TLAQUEPAQUE CENTRO,TLAQUEPAQUE,45500,20.63852,-103.3148
360,GUADALAJARA 96,JUAN PABLO II,3187,OBLATOS,GUADALAJARA,44700,20.70283,-103.2837
361,GUADALAJARA 97,SALVADOR OROZCO LORETO,1319,LAS HUERTAS,TLAQUEPAQUE,45589,20.61401,-103.3036
362,GUADALAJARA 98,SILVA ROMERO FRANCISCO,96,LOS ALTOS,TLAQUEPAQUE,45520,20.63838,-103.3003
363,GUADALAJARA 99,BOSQUES DE SAN ISIDRO,586,LA GRANA,GUADALAJARA,45180,20.74603,-103.3853
364,GUSTAVO BAZ,GUSTAVO BAZ,253,HACIENDA DE ECHEGARAY,NAUCALPAN,53300,19.49494,-99.22725
365,HACIENDA MARGARITAS,ALCATRAZ,560,HACIENDA LAS MARGARITAS IV,MONTERREY,66647,25.70989,-100.1578
366,HAMBURGO 1,HAMBURGO,206,JUAREZ,CIUDAD DE MEXICO,06600,19.42432,-99.16865
367,"HIDALGOTITLAN, VER",FRANCISCO I. MADERO,S/N,HIDALGOTITLAN,HIDALGOTITLAN,96930,17.77256,-94.64722
368,HIPODROMO 1,TAMAULIPAS,236,HIPODROMO,CIUDAD DE MEXICO,06100,19.40681,-99.17873
369,HUATUSCO,2 PONIENTE,413,CENTRO,HUATUSCO,94100,19.15128,-96.96515
370,HUATUSCO 2,1 ORIENTE,S/N,CENTRO,HUATUSCO,94100,19.1502,-96.96268
371,HUATUSCO 3,6 SUR,S/N,ZONA CENTRO,HUATUSCO,94100,19.14781,-96.96797
372,HUATUSCO 4,28 NORTE,4,RESERVA TERRITORIAL,HUATUSCO,94106,19.14161,-96.97579
373,"HUEHUETAN 2, CHIAPAS",SEGUNDA AVENIDA NORTE,6,BARRIO SANTO DOMINGO,HUEHUETAN,30660,15.01916,-92.38438
374,HUEHUETAN CHIAPAS,JUAREZ,S/N,HUEHUETAN,HUEHUETAN,30670,15.0111,-92.40388
375,"HUEJUQUILLA 1, JAL.",VICENTE GUERRERO,8,HUEJUQUILLA EL ALTO CENTRO,HUEJUQUILLA EL ALTO,46000,22.62782,-103.8978
376,HUETAMO 4,FRAY JUAN DE ZUMARRAGA,34,HUETAMO DE NUÑEZ CENTRO,HUETAMO,61940,18.6275,-100.8972
377,HUIXTLA 1,RAYON NORTE,8,CENTRO,HUIXTLA,30640,15.13763,-92.46322
378,HUIXTLA 2,CENTRAL NORTE,11,CENTRO,HUIXTLA,30640,15.13871,-92.46568
379,HUIXTLA 3,CENTRAL NORTE PONIENTE,57,CENTRO,HUIXTLA,30640,15.1431,-92.4633
380,HUIXTLA 5,JUAREZ NORTE,S/N,HUIXTLA CENTRO,HUIXTLA,30640,15.13888,-92.46469
381,INDEPENDENCIA,INDEPENDENCIA,44,INDEPENDENCIA,CIUDAD DE MEXICO,03630,19.37814,-99.14242
382,INSURGENTES 2,SINALOA,6,ROMA NORTE,CIUDAD DE MEXICO,06700,19.42153,-99.16377
383,INSURGENTES 3,INSURGENTES SUR,402,ROMA SUR,CIUDAD DE MEXICO,06760,19.40883,-99.16742
384,INSURGENTES 4,INSURGENTES SUR,2375,BARRIO LORETO,CIUDAD DE MEXICO,01090,19.34181,-99.18996
385,INSURGENTES 5,PUEBLA,163,ROMA,CIUDAD DE MEXICO,06700,19.42245,-99.16257
386,INSURGENTES 6,INSURGENTES SUR,520,ROMA SUR,CIUDAD DE MEXICO,06760,19.40244,-99.16948
387,INSURGENTES 7,INSURGENTES NORTE,1210,CAPULTITLAN,CIUDAD DE MEXICO,07370,19.47665,-99.13345
388,INSURGENTES 8,INSURGENTES SUR,327,HIPODROMO,CIUDAD DE MEXICO,06100,19.41311,-99.16637
389,INSURGENTES 9,SUR,275,ROMA NORTE,CIUDAD DE MEXICO,06700,19.41625,-99.16534
390,IRAPUATO 1,MANUEL DOBLADO,79,ZONA CENTRO,IRAPUATO,36500,20.67309,-101.3445
391,IRAPUATO 10,COLON,331Y331-B,IRAPUATO CENTRO,IRAPUATO,36500,20.6758,-101.3459
392,IRAPUATO 12,FERNANDO DAVILA,96 Y 104,IRAPUATO CENTRO,IRAPUATO,36500,20.6731,-101.348
393,IRAPUATO 14,PASEO FLORESTA,761,FLORESTA,IRAPUATO,36584,20.64436,-101.3378
394,IRAPUATO 15,PASEO DE LA SOLIDARIDAD,12100,UNIDAD HABITACIONAL LABORATORIO C.F.E.,IRAPUATO,36631,20.69793,-101.3438
395,IRAPUATO 16,JARDIN,311,PURISIMA DEL JARDIN,IRAPUATO,36555,20.64322,-101.3859
396,IRAPUATO 17,LOS REYES,242,LOS REYES,IRAPUATO,36570,20.66242,-101.3514
397,IRAPUATO 18,TERESA VARA,918,INSURGENTES,IRAPUATO,36583,20.66573,-101.3372
398,IRAPUATO 19,CASIMIRO LICEAGA,326-B,ALVARO OBREGON,IRAPUATO,36530,20.67343,-101.3595
399,IRAPUATO 2,GUERRERO,615,CENTRO,IRAPUATO,36500,20.67769,-101.3496
400,IRAPUATO 3,GUANAJUATO,1314,SOLIDARIDAD,IRAPUATO,36570,20.65946,-101.3501
401,IRAPUATO 4,OAXACA,1710,MIGUEL HIDALGO,IRAPUATO,36550,20.67276,-101.3645
402,IRAPUATO 5,DIAZ ORDAZ,MZ4 LT1A4,INDEPENDENCIA,IRAPUATO,36559,20.676,-101.3418
403,ISLA 1,16 DE SEPTIEMBRE,S/N,CENTRO,ISLA,95640,18.02513,-95.5302
404,ISLA 2,ING. R. SANDOVAL NORTE,599,ISLA CENTRO,ISLA,95640,18.03085,-95.52974
405,ISLA 3,FLORES MAGON,S/N,ISLA CENTRO,ISLA,95640,18.03025,-95.52429
406,IXTAPALUCA 1,JOSE MA. MORELOS,MZ 8,LOS HEROES,IXTAPALUCA,56585,19.32496,-98.87498
407,IXTAPALUCA 2,LA COTERA,MZ 8 LT 10,SANTA BARBARA,IXTAPALUCA,56538,19.30062,-98.8964
408,IXTAPALUCA 6,CUAUHTEMOC,MZ 136,LOMA BONITA AMPLIACION,IXTAPALUCA,56563,19.31013,-98.91994
409,IXTAPALUCA 8,CUAUHTEMOC,5503,TLALPIZAHUAC CENTRO,IXTAPALUCA,56576,19.32733,-98.94692
410,IZAZAGA,JOSE MARIA IZAZAGA,75,CENTRO,CIUDAD DE MEXICO,06080,19.42619,-99.13769
411,IZTACALCO 2,SUR 16,227,AGRICOLA ORIENTAL,CIUDAD DE MEXICO,08500,19.39523,-99.07623
412,IZTACALCO 3,HOJA DE ARBOL,3,INFONAVIT IZTACALCO,CIUDAD DE MEXICO,08900,19.3836,-99.10693
413,IZTACALCO 4,CANAL DE TEZONTLE,159,JARDINES TECMA,CIUDAD DE MEXICO,08920,19.38851,-99.11565
414,IZTACALCO 5,CANAL DE TEZONTLE,860,AMPLICACION GABRIEL RAMOS MILLAN,CIUDAD DE MEXICO,08020,19.3846,-99.09431
415,IZTAPALAPA 1,OCTAVIO SENTIES,MZ 185,2DA. AMPLIACION DE SANTIAGO ACAHUALTEPEC,CIUDAD DE MEXICO,09609,19.34932,-99.01157
416,IZTAPALAPA 6,IGNACIO ZARAGOZA,2613,SANTA MARTHA ACATITLA SUR,CIUDAD DE MEXICO,09530,19.37315,-99.01753
417,IZTAPALAPA 9,CAMINO A LAS MINAS,L-1,XALPA,CIUDAD DE MEXICO,09640,19.34494,-99.01403
418,JALTIPAN 2,LEANDRO VALLE,219,JALTIPAN DE MORELOS CENTRO,JALTIPAN,96200,17.96487,-94.71848
419,JALTIPAN 3,LERDO DE TEJADA,707-A,CENTRO,JALTIPAN,96200,17.96219,-94.71722
420,JAMAICA,ESCUADRA,103,ARTES GRAFICAS,CIUDAD DE MEXICO,15830,19.40914,-99.12341
421,"JAMAPA 1, VER",VERACRUZ SUR,S/N,JAMAPA,JAMAPA,94260,19.03994,-96.24133
422,JAMAY 1,MORELOS,258,CENTRO,JAMAY,47900,20.29104,-102.7067
423,JARDIN BALBUENA,FRAY SERVANDO TERESA DE MIER,854,JARDIN BALBUENA,CIUDAD DE MEXICO,15900,19.4187,-99.10632
424,JARDIN BALBUENA 2,FRANCISCO DEL PASO Y TRONCOSO,14,JARDIN BALBUENA,CIUDAD DE MEXICO,15900,19.42633,-99.11112
425,"JIQUILPAN 2, MCH",PROFESOR FAJARDO SUR,10,JIQUILPAN DE JUAREZ CENTRO,JIQUILPAN,59510,19.99151,-102.7184
426,"JIQUILPAN, MCH",ARTEAGA,114,JIQUILPAN DE JUAREZ CENTRO,JIQUILPAN,59510,19.99021,-102.7194
427,JIQUIPILAS 1,CENTRAL,S/N,CENTRO,JIQUIPILAS,30430,16.66798,-93.65067
428,"JORGE NEGRETE, GUSTAVO A MADERO",JOSE ELIAS MORENO,S/N,JORGE NEGRETE,CIUDAD DE MEXICO,07280,19.52711,-99.14433
429,JOSE A COALLA (ABASTOS),6 SUR,540,CENTRAL DE ABASTO,MEXICO,09040,0.0,0.0
430,"JUAN GONZALEZ ROMERO, GUSTAVO A MADERO",ALCATRAZ,13,JUAN GONZALEZ ROMERO,CIUDAD DE MEXICO,07410,19.50697,-99.09018
431,JUAREZ NUEVO LEON,FCO. I. MADERO,102,HEROE DE NACOZARI,JUAREZ,67288,25.63703,-100.179
432,JUAREZ NUEVO LEON 2,LATERAL TEOFILO SALINAS,L154 M134,FRACCIONAMIENTO DE LA CIUDADELA SECTORREAL DE SAN JOSE 3ERA ETAPA,JUAREZ,67262,25.6501,-100.0844
433,JUAREZ NUEVO LEON 3,GAMMA,399,LOS COMETAS,JUAREZ,67280,25.61012,-100.1533
434,JUAREZ NUEVO LEON 4,ELOY CAVAZOS,L2,PORTAL DE VAQUERIAS,JUAREZ,67280,25.63795,-100.1475
435,"JUCHIQUE DE FERRER, VER",REFORMA,S/N,JUCHIQUE DE FERRER,JUCHIQUE DE FERRER,91440,19.84149,-96.69436
436,"LA MAGDALENA, EDO DE MEX.",ALTAMIRANO,20,LA MAGDALENA ATLICPAC,LOS REYES ACAQUILPAN (LA PAZ),56525,19.3675,-98.9488
