,drugstore,street,number,neighborhood,city,zip_code,latitude,longitude
65,AV. JALISCO 2,ANTONIO MACEO,7,TACUBAYA,CIUDAD DE MEXICO,11870,19.40594,-99.1852
66,AV. MEXICO 1,MEXICO,1067,SANTA TERESA,CIUDAD DE MEXICO,10710,19.31097,-99.22543
67,AVENIDA 8,GRAL FRANCISCO MORAZAN,196,IGNACIO ZARAGOZA,CIUDAD DE MEXICO,15000,19.41254,-99.08996
68,AYUNTAMIENTO 1,AYUNTAMIENTO,14,CENTRO,CIUDAD DE MEXICO,06000,19.43034,-99.14228
69,AYUNTAMIENTO 2,AYUNTAMIENTO,77,CENTRO,CIUDAD DE MEXICO,06050,19.43106,-99.14607
70,BALDERAS 1,BALDERAS,33,CENTRO,CIUDAD DE MEXICO,06040,19.43455,-99.14756
71,BARONA,EMILIANO ZAPATA,68,ANTONIO BARONA,CUERNAVACA,62320,18.94661,-99.19569
72,BOCA DEL RIO 1,HIDALGO,307,CENTRO,BOCA DEL RIO,94290,19.10098,-96.1055
73,BOCA DEL RIO 10,SOLDADORES,LT 6 MZ65-B,VILLA RICA,BOCA DEL RIO,94298,19.12624,-96.11489
74,BOCA DEL RIO 2,COSTA DORADA,500-A,COSTA VERDE,BOCA DEL RIO,94294,19.166,-96.11328
75,BOCA DEL RIO 3,8,54,VENUSTIANO CARRANZA,BOCA DEL RIO,94297,19.1301,-96.12372
76,BOCA DEL RIO 4,LAZARO CARDENAS,LT 1,MANLIO FABIO ALTAMIRANO,BOCA DEL RIO,94296,19.14924,-96.12851
77,BOCA DEL RIO 5,COSTA VERDE,765,FRACCIONAMIENTO VIRGINIA,BOCA DEL RIO,94294,19.16511,-96.11721
78,BOCA DEL RIO 6,CANDIDO AGUILAR,18,VILLA RICA,BOCA DEL RIO,94298,19.1325,-96.11369
79,BOCA DEL RIO 7,PASEO JARDIN,429,FRACCIONAMIENTO VIRGINIA,BOCA DEL RIO,94294,19.16401,-96.12682
80,BOCA DEL RIO 8,GRACIANO SANCHEZ,2670,VENUSTIANO CARRANZA,BOCA DEL RIO,94297,19.12451,-96.12566
81,BOCA DEL RIO 9,VIA MUERTA,L-23 M-7,LUIS ECHEVERRIA ALVAREZ,BOCA DEL RIO,94298,19.12957,-96.1075
82,CALLE 7,7,288,PANTITLAN,CIUDAD DE MEXICO,08100,19.4117,-99.05711
83,CALZADA DE GUADALUPE 2,DE GUADALUPE,161,VALLE GOMEZ,CIUDAD DE MEXICO,06240,19.4604,-99.12653
84,CALZADA GUADALUPE 1,DE GUADALUPE,416,INDUSTRIAL,CIUDAD DE MEXICO,07800,19.47124,-99.12269
85,CANAL DEL NORTE 1,CANAL DEL NORTE,274,POPULAR RASTRO,CIUDAD DE MEXICO,15220,19.45031,-99.11595
86,CANCUN 14,NIÑOS HEROES,MZ 19,REGION 240,CANCUN,77527,21.19033,-86.8283
87,CANCUN 16,VIAL HACIENDA DE IXTLA,1517,SUPERMANZANA 201 CANCUN,CANCUN,77539,21.15742,-86.89684
88,CANCUN 17,NICHUPTE,LT 01 MZ28,SUPERMANZANA 50,CANCUN,77533,21.14104,-86.85279
89,CANCUN 19,MARGARITAS,MZ-105 L-22 SM 259,FRACCIONAMIENTO VILLA OTOCH PARAISO,CANCUN,77539,21.14845,-86.91579
90,CANCUN 2,TULUM,S/N MZ 05,SUPERMANZANA 7,CANCUN,77503,21.14549,-86.82405
91,CANCUN 21,MEXICO,MANZANA 16,FRACCIONAMIENTO EL MILAGRO,CANCUN,77536,21.11698,-86.91138
92,CANCUN 24,NICHUPTE,MZ-100L-02-03,SUPERMANZANA 99,CANCUN,77536,21.14046,-86.89084
93,CANCUN 3,TULUM MZ 7,LT 2-49/51,SMZA 22 CANCUN,CANCUN,77500,21.15903,-86.82584
94,CANCUN 5,NIÑOS HEROES,SM 220,NUEVOS HORIZONTES 2,CANCUN,77517,21.17362,-86.86249
95,CANCUN 6,137,MZ94 LT16,REGION 101,CANCUN,77519,21.15143,-86.87968
96,CANCUN 9,JOSE LOPEZ PORTILLO,SM91 MZ 60,CANCUN CENTRO,CANCUN,77500,21.16606,-86.8435
97,CASAS ALEMAN 1,PUERTO TUXPAN,59,CASAS ALEMAN,CIUDAD DE MEXICO,07580,19.4761,-99.08157
98,CASAS ALEMAN 2,PUERTO VERACRUZ,9,CASAS ALEMAN,CIUDAD DE MEXICO,07580,19.47538,-99.08891
99,CASTILLO DE TEAYO,PORFIRIO DIAZ,S/N,ZONA CENTRO,CASTILLO DE TEAYO,92940,20.74914,-97.63373
100,CD. AZTECA,CIRCUNVALACION SUR,42,JARDINES DE SANTA CLARA,ECATEPEC,55420,19.54538,-99.04071
101,CD. GUZMAN 1,FEDERICO DEL TORO,2,CIUDAD GUZMAN CENTRO,CIUDAD GUZMAN,49000,19.70341,-103.464
102,CD. GUZMAN 2,1RO DE MAYO,524-A,CENTRO,CIUDAD GUZMAN,49000,19.69283,-103.4677
103,CD. HIDALGO,PRIMERA NORTE,2,CENTRO,SUCHIATE,30840,14.6803,-92.14971
104,CD. HIDALGO 2,2A AVENIDA SUR PONIENTE,10-A,CENTRO,HIDALGO,30840,14.67826,-92.15196
105,CD. HIDALGO 3,3A AVENIDA NORTE,9,CIUDAD HIDALGO,SUCHIATE,30840,14.68209,-92.14886
106,CD. LAGO,AEROPUERTO,68,CIUDAD LAGO,NEZAHUALCOYOTL,57180,19.45629,-99.04705
107,CD. MADERO 2,JALISCO,100,UNIDAD NACIONAL,TAMPICO,89410,22.27263,-97.85205
108,CD. MADERO 7,GUATEMALA,1518 PTE,DEL VALLE,TAMAULIPAS,89550,22.26225,-97.83987
109,CD. MADERO 8,ALVARO OBREGON,1203,ARBOL GRANDE,TAMPICO,89490,22.24,-97.84114
110,CELAYA 1,ADOLFO LOPEZ MATEOS ORIENTE,200 LOCAL1 Y 202-D,ZONA CENTRO,CELAYA,38000,20.51961,-100.812
111,CELAYA 10,JOSE AGUILAR Y MAYA,204,FRACCIONAMIENTO ALAMEDA,CELAYA,38050,20.52826,-100.8113
112,CELAYA 2,MIGUEL HIDALGO,210-A,CENTRO,CELAYA,38000,20.52144,-100.816
113,CELAYA 3,MUTUALISMO,212,CENTRO,CELAYA,38000,20.51862,-100.8235
114,CELAYA 5,CORREGIDORA,107,CELAYA CENTRO,CELAYA,38000,20.52292,-100.8144
115,CELAYA 6,EL SAUZ,125,LAS CASAS,CELAYA,38013,20.54926,-100.8459
116,CELAYA 7,ADOLFO LOPEZ MATEOS,1023,CENTRO,CELAYA,38000,20.51973,-100.8283
117,CELAYA 8,ADOLFO LOPEZ MATEOS,506 PTE,ZONA CENTRO,CELAYA,38000,20.51979,-100.8175
118,CELAYA 9,BENITO JUAREZ,402,ZONA CENTRO,CELAYA,38000,20.52329,-100.8153
119,CENTRAL DE ABASTOS,ENCOMENDEROS,2,CENTRAL DE ABASTO,CIUDAD DE MEXICO,09040,19.38182,-99.08376
120,CENTRO 11,ARGENTINA,101,CENTRO,CIUDAD DE MEXICO,06020,19.44225,-99.13068
121,CENTRO 12,TACUBA,69,CENTRO,CIUDAD DE MEXICO,06000,19.43547,-99.13546
122,CENTRO 13,REPUBLICA DE CUBA,39,CENTRO,CIUDAD DE MEXICO,06010,19.43715,-99.13776
123,CENTRO 14,URUGUAY,156,CENTRO,CIUDAD DE MEXICO,06060,19.4295,-99.12909
124,CENTRO 2,5 DE FEBRERO,17,CENTRO,CIUDAD DE MEXICO,06060,19.43047,-99.13465
125,CENTRO 4,JUAREZ,18,CENTRO,CIUDAD DE MEXICO,06050,19.43424,-99.14213
126,CENTRO 6,REGINA,51,CENTRO,CIUDAD DE MEXICO,06080,19.42765,-99.13528
127,CENTRO 9,JOSE MARIA IZAZAGA,50,CENTRO DE LA CIUDAD DE MEXICO AREA 8,CIUDAD DE MEXICO,06080,19.4268,-99.13929
128,CHALCO 1,FRANCISCO I. MADERO,16,CENTRO,CHALCO,56600,19.26493,-98.89893
129,CHAMULA,CENTRAL,S/N,CENTRO,CHAMULA,29320,16.78728,-92.69078
130,CHAPULTEPEC 1,CHAPULTEPEC,92,ROMA,CIUDAD DE MEXICO,06040,19.42515,-99.15424
131,CHAPULTEPEC 2,CHAPULTEPEC,473,JUAREZ,CIUDAD DE MEXICO,06600,19.42188,-99.17218
132,"CHERAN, MCH",CONSTITUCION,10,BARRIO PRIMERO,CHERAN,60270,19.68779,-101.9555
133,CHIAPA DE CORZO,21 DE OCTUBRE,117,CHIAPA DE CORZO CENTRO,CHIAPA DE CORZO,29160,16.70896,-93.01625
134,CHIAPA DE CORZO 3,LIBERTAD,516,BARRIO BENITO JUAREZ,CHIAPA DE CORZO,29160,16.70578,-93.00654
135,CHICOLOAPAN,MEXICO - TEXCOCO KM. 27.5,LT 15,REVOLUCION,CHICOLOAPAN DE JUAREZ,56370,19.40602,-98.92611
136,CHIHUAHUA 12,RIO AMAZONAS,2003,FRACCIONAMIENTO RIBERAS DEL SACRAMENTO IETAPA III,CHIHUAHUA,31184,28.777,-106.1678
137,CHIHUAHUA 13,VALLARTA,6507,LAGOS,CHIHUAHUA,31100,28.67608,-106.1038
138,CHIHUAHUA 14,HEROICO COLEGIO MILITAR,12307,FRANCISCO DOMINGUEZ,CHIHUAHUA,31135,28.71213,-106.0939
139,CHIHUAHUA 15,DE LAS INDUSTRIAS,14701,CHIHUAHUA 2000-94,CHIHUAHUA,31136,28.72954,-106.1137
140,CHIHUAHUA 17,NUEVA ESPAÑA,5401,COLONIA VISTA CERRO GRANDE,CHIHUAHUA,31065,28.588,-106.0334
141,CHIHUAHUA 20,PUERTA DE AFRICA,15106,PUERTA NORTE,CHIHUAHUA,31125,28.71541,-106.1484
142,CHIHUAHUA 21,FELIPE ANGELES RAMIREZ,39,FRANCISCO VILLA,CHIHUAHUA,31134,28.69183,-106.0954
143,CHIHUAHUA 23,PASCUAL OROZCO,909,SAN FELIPE V,CHIHUAHUA,31240,28.65477,-106.0917
144,CHIHUAHUA 28,PASCUAL OROZCO,12106-D,REVOLUCION,CHIHUAHUA,31135,28.70663,-106.1107
145,CHIHUAHUA 3,SILVESTRE TERRAZAS,9004,CAMPESINA NUEVA,CHIHUAHUA,31410,28.60072,-106.1037
146,CHIHUAHUA 31,DE LAS AMERICAS,1601,PANAMERICANA,CHIHUAHUA,31210,28.65514,-106.1121
147,CHIHUAHUA 32,ARBOL DE HIERRO,20306,FRACCIONAMIENTO PARQUE INDUSTRIALIMPULSO (IV ETAPA),CHIHUAHUA,31183,28.74917,-106.1508
148,CHIHUAHUA 7,BENITO JUAREZ GARCIA,2101,CENTRO,CHIHUAHUA,31000,28.64236,-106.0718
149,CHIHUAHUA 8,16,5401,DALE,CHIHUAHUA,31050,28.61795,-106.0579
150,CHIHUAHUA 9,CUAUHTEMOC,2805,CUAUHTEMOC,CHIHUAHUA,31020,28.62896,-106.0835
151,CHIMALHUACAN 1,PEÑON,MZ 72,BARRIO TEJEDORES,CHIMALHUACAN,56330,19.42492,-98.96821
152,CHIMALHUACAN 12,FRANCISCO I. MADERO,MZ-1-ALT-105,ACUITLAPILCO 2DA. SECCION,CHIMALHUACAN,56335,19.43929,-98.93174
153,CHIMALHUACAN 2,TOCHCALLI,MZ 473,SARAPEROS,CHIMALHUACAN,56355,19.41949,-98.98387
154,CINTALAPA 2,1 AV. NORTE,2,CINTALAPA DE FIGUEROA CENTRO,CINTALAPA,30400,16.69858,-93.72101
155,CINTALAPA 3,DR. RODULFO FIGUEROA,138-C,BARRIO SEGURO SOCIAL,CINTALAPA,30400,16.68913,-93.72107
156,CINTALAPA 4,2 CA. PONIENTE SUR,7,CENTRO,CINTALAPA,30400,16.69797,-93.72307
157,CINTALAPA 5,3A CALLE ORIENTE,183,BARRIO SANTA CECILIA,CINTALAPA,30400,16.69582,-93.71936
158,CIRCUNVALACION 1,BERRIOZABAL,34,MORELOS,CIUDAD DE MEXICO,06200,19.44095,-99.12316
159,CIRCUNVALACION 2,ANILLO DE CIRCUNVALACION,1009,CENTRO DE LA CIUDAD DE MEXICO AREA 9,CIUDAD DE MEXICO,06090,19.42392,-99.12599
160,CIRCUNVALACION 3,HORTELANOS,35,MORELOS,CIUDAD DE MEXICO,15270,19.44107,-99.11903
161,CIRCUNVALACION 4,1 ORIENTE VIDAL ALCOCER,41,ZONA CENTRO,CIUDAD DE MEXICO,15100,19.43712,-99.12366
162,COATZACOALCOS 1,HIDALGO,501,CENTRO,COATZACOALCOS,96400,18.14484,-94.41766
163,COATZACOALCOS 2,UNIVERSIDAD VERACRUZANA,2109,EMILIANO ZAPATA,COATZACOALCOS,96560,18.13917,-94.46293
164,COATZACOALCOS 3,VENUSTIANO CARRANZA,404,CENTRO,COATZACOALCOS,96400,18.14735,-94.41588
165,COATZACOALCOS 5,JUAN OSORIO LOPEZ,304,INDEPENDENCIA,COATZACOALCOS,96556,18.12345,-94.46986
166,COATZACOALCOS 6,JOHN J. SPARK,1301,PUERTO MEXICO,COATZACOALCOS,96510,18.15306,-94.43703
167,COATZACOALCOS 7,NICOLAS BRAVO,123,CENTRO,COATZACOALCOS,96400,18.14211,-94.42271
168,COATZACOALCOS 8,MIGUEL ANGEL DE QUEVEDO,3014,GUADALUPE VICTORIA,COATZACOALCOS,96520,18.14553,-94.4569
169,"COMAPA 1, VER.",BOCA DEL MONTE,S/N,ZONA CENTRO,SIN CIUDAD,94200,19.15257,-96.8335
170,CORDOBA 1,9,401,CENTRO,CORDOBA,94500,18.89354,-96.93106
171,CORDOBA 10,AVENIDA 11,202,CENTRO,CORDOBA,94500,18.8917,-96.93913
172,CORDOBA 11,CALLE 10,3401-C,NUEVO TOXPAN,CORDOBA,94516,18.90728,-96.9302
